date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:34:25	29180/29180	---M--	200	added ('OK')	application/pdf	etag:%2271fc-573e5dbb6c15c%22	http://www.ggpa.cteguj.in/uploads/2019/Format_10_2_Sample_Format_-_Hostel_Admission_Form.pdf	C:/Users/HELI%20DETROJA/Desktop/clg_temp/www.ggpa.cteguj.in/uploads/2019/Format_10_2_Sample_Format_-_Hostel_Admission_Form.pdf	(from http://www.ggpa.cteguj.in/links/)
15:34:25	41694/41694	---M--	200	added ('OK')	application/pdf	etag:%22a2de-573e5d9da66a3%22	http://www.ggpa.cteguj.in/uploads/2019/Format_7_9_Sample_Format_-_Student_Application_for_Name_Correction.pdf	C:/Users/HELI%20DETROJA/Desktop/clg_temp/www.ggpa.cteguj.in/uploads/2019/Format_7_9_Sample_Format_-_Student_Application_for_Name_Correction.pdf	(from http://www.ggpa.cteguj.in/links/)
15:34:28	29121/29121	---M--	200	added ('OK')	application/pdf	etag:%2271c1-573e5dcbd2413%22	http://www.ggpa.cteguj.in/uploads/2019/Format_10_3_Sample_Format_-_Declaration_by_the_Student.pdf	C:/Users/HELI%20DETROJA/Desktop/clg_temp/www.ggpa.cteguj.in/uploads/2019/Format_10_3_Sample_Format_-_Declaration_by_the_Student.pdf	(from http://www.ggpa.cteguj.in/links/)
15:34:36	2876996/2876996	---M--	200	added ('OK')	application/pdf	etag:%222be644-5f34a035ea5ca%22	http://www.ggpa.cteguj.in/uploads/2019/Scholarship_User_Manual.pdf	C:/Users/HELI%20DETROJA/Desktop/clg_temp/www.ggpa.cteguj.in/uploads/2019/Scholarship_User_Manual.pdf	(from http://www.ggpa.cteguj.in/links/)
15:34:47	23357/23357	---M--	200	added ('OK')	application/pdf	etag:%225b3d-573e5e0c91065%22	http://www.ggpa.cteguj.in/uploads/2019/Format_10_5_Sample_Format_-_Hostel_Deposit_Refund.pdf	C:/Users/HELI%20DETROJA/Desktop/clg_temp/www.ggpa.cteguj.in/uploads/2019/Format_10_5_Sample_Format_-_Hostel_Deposit_Refund.pdf	(from http://www.ggpa.cteguj.in/links/)
15:34:54	42496/42496	---M--	200	added ('OK')	application/msword	etag:%22a600-550b0e27361ce%22	http://www.ggpa.cteguj.in/uploads/2019/Forms_F15_LTC-PATRAK.doc	C:/Users/HELI%20DETROJA/Desktop/clg_temp/www.ggpa.cteguj.in/uploads/2019/Forms_F15_LTC-PATRAK.doc	(from http://www.ggpa.cteguj.in/links/)
15:35:14	53760/53760	---M--	200	added ('OK')	application/msword	etag:%22d200-550b0e5b617fb%22	http://www.ggpa.cteguj.in/uploads/2019/Forms_F16_Head-Q-Live.doc	C:/Users/HELI%20DETROJA/Desktop/clg_temp/www.ggpa.cteguj.in/uploads/2019/Forms_F16_Head-Q-Live.doc	(from http://www.ggpa.cteguj.in/links/)
15:35:20	92672/92672	---M--	200	added ('OK')	application/msword	etag:%2216a00-550b0e8dc2d28%22	http://www.ggpa.cteguj.in/uploads/2019/Forms_F25_Request_Transfer.doc	C:/Users/HELI%20DETROJA/Desktop/clg_temp/www.ggpa.cteguj.in/uploads/2019/Forms_F25_Request_Transfer.doc	(from http://www.ggpa.cteguj.in/links/)
15:36:10	600454/600454	---M--	200	added ('OK')	application/pdf	etag:%2292986-55c8c4075a8a3%22	http://www.ggpa.cteguj.in/uploads/2019/Sarva_Shiksha_Abhiyan_TollfreeNumber.pdf	C:/Users/HELI%20DETROJA/Desktop/clg_temp/www.ggpa.cteguj.in/uploads/2019/Sarva_Shiksha_Abhiyan_TollfreeNumber.pdf	(from http://www.ggpa.cteguj.in/links/)
15:36:14	68019/68019	---MC-	200	added ('OK')	text/html	date:Wed,%2017%20May%202023%2010:06:10%20GMT	http://www.ggpa.cteguj.in/links/news	C:/Users/HELI%20DETROJA/Desktop/clg_temp/www.ggpa.cteguj.in/links/news.html	(from http://www.ggpa.cteguj.in/links/)
